Dataset,Algorithm,CV_fold,HP_vals,Accuracy,TPR,FPR,Precision,AUC,PR-Curve,Training_time,Inference_time
squash-unstored,H2O-GBM,1,"{'ntrees': 10, 'max_depth': 7, 'min_rows': 45}",0.0,0.03333333333333333,0.65,0.0,0.2818181818181818,0.4578037965073569,0.5978861628100276,6.629981765789645
squash-unstored,H2O-GBM,2,"{'ntrees': 20, 'max_depth': 7, 'min_rows': 45}",0.0,0.06666666666666668,0.5,0.0,0.20656565656565654,0.4225782890299574,0.37099793925881386,6.0009670310786785
squash-unstored,H2O-GBM,3,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.25,0.4386574398476704,0.3573782527819276,17.058969741421087
squash-unstored,H2O-GBM,4,"{'ntrees': 10, 'max_depth': 6, 'min_rows': 45}",0.0,0.03333333333333333,0.6666666666666666,0.0,0.25606060606060604,0.4534066789461096,0.6276903636753559,7.216618662433965
squash-unstored,H2O-GBM,5,"{'ntrees': 20, 'max_depth': 3, 'min_rows': 45}",0.0,0.03333333333333333,0.6666666666666666,0.0,0.2405162738496072,0.4475186234474161,0.35176806151866913,16.42023727652572
squash-unstored,H2O-GBM,6,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.2727272727272728,0.4419745036413853,0.3838151497766376,17.644995513061684
squash-unstored,H2O-GBM,7,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 45}",0.0,0.037037037037037035,0.6666666666666666,0.0,0.2516273849607183,0.4405436201162036,0.56082125287503,7.433105969712847
squash-unstored,H2O-GBM,8,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 45}",0.0,0.0,0.6666666666666666,0.0,0.3,0.4345421837269103,0.3384827570989728,8.970302529633045
squash-unstored,H2O-GBM,9,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 45}",0.0,0.037037037037037035,0.65,0.0,0.2867676767676767,0.4609780864003431,0.3511537276208401,8.654795540496707
balance-scale,H2O-GBM,0,"{'ntrees': 90, 'max_depth': 6, 'min_rows': 45}",0.09523809523809523,0.30114942528735633,0.6103448275862069,0.24444444444444444,0.42751859364435424,0.4674716907294614,0.9683251772075891,1.9536695576139853
balance-scale,H2O-GBM,1,"{'ntrees': 30, 'max_depth': 5, 'min_rows': 15}",0.1111111111111111,0.3678160919540229,0.5045977011494253,0.25,0.4837728194726166,0.5218706022814884,0.7688983967527747,6.002489107823561
balance-scale,H2O-GBM,2,"{'ntrees': 70, 'max_depth': 5, 'min_rows': 45}",0.07936507936507936,0.3448275862068965,0.5494252873563218,0.026881720430107527,0.4573360378634213,0.44992062480166384,0.5699660833925009,2.315933402213785
balance-scale,H2O-GBM,3,"{'ntrees': 10, 'max_depth': 6, 'min_rows': 35}",0.09523809523809523,0.3448275862068965,0.5770114942528736,0.09540229885057472,0.4294793779580797,0.4218459867540776,0.782433177344501,5.57640531942958
balance-scale,H2O-GBM,4,"{'ntrees': 60, 'max_depth': 3, 'min_rows': 25}",0.07936507936507936,0.3333333333333333,0.4816091954022989,0.026455026455026454,0.4582826233941853,0.4654596302926458,0.487325869500637,2.098940076336028
balance-scale,H2O-GBM,5,"{'ntrees': 90, 'max_depth': 4, 'min_rows': 45}",0.08064516129032258,0.3333333333333333,0.4523809523809524,0.026881720430107527,0.5182352894960988,0.5418252147835841,0.4090089565142989,6.612044744073383
balance-scale,H2O-GBM,6,"{'ntrees': 40, 'max_depth': 5, 'min_rows': 15}",0.08064516129032258,0.3448275862068965,0.5214285714285715,0.026881720430107527,0.4558375065914833,0.4755796283020135,0.3530938597396016,2.6794685681741086
balance-scale,H2O-GBM,7,"{'ntrees': 50, 'max_depth': 6, 'min_rows': 45}",0.12903225806451613,0.33645320197044337,0.5091954022988506,0.21471861471861475,0.4378868794396712,0.4766430024041666,0.5883480384945871,5.717672738096407
balance-scale,H2O-GBM,8,"{'ntrees': 70, 'max_depth': 3, 'min_rows': 35}",0.0967741935483871,0.3448275862068965,0.5101395730706075,0.19444444444444445,0.4518377625482355,0.4297137348805004,0.5644149892032146,2.4014243465517797
balance-scale,H2O-GBM,9,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 25}",0.06451612903225806,0.3448275862068965,0.4727011494252874,0.02150537634408602,0.4351271334029955,0.4989877452254718,0.34847321826964617,2.623903730343426
flags,H2O-GBM,0,"{'ntrees': 20, 'max_depth': 5, 'min_rows': 35}",0.02564102564102564,0.16071428571428573,0.25396825396825395,0.004464285714285714,0.2299512284490147,0.6345299511743654,1.3576456634327771,8.847014835247627
flags,H2O-GBM,1,"{'ntrees': 50, 'max_depth': 5, 'min_rows': 45}",0.02564102564102564,0.08333333333333333,0.257936507936508,0.015873015873015872,0.2628704651158794,0.5945483220227525,1.315707553178072,14.666750525625849
flags,H2O-GBM,2,"{'ntrees': 20, 'max_depth': 7, 'min_rows': 35}",0.02564102564102564,0.0,0.21247874149659865,0.013888888888888888,0.2452678545057931,0.6157236822628638,0.3856131602078676,4.2956128525428285
flags,H2O-GBM,3,"{'ntrees': 10, 'max_depth': 3, 'min_rows': 35}",0.0,0.125,0.2236394557823129,0.0,0.3161925818861125,0.698446407411309,29.70213645324111,11.240701883649216
flags,H2O-GBM,4,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 15}",0.0,0.0,0.24404761904761904,0.0,0.2289271553251816,0.6278519271701414,36.9794494593516,9.945705556907717
flags,H2O-GBM,5,"{'ntrees': 10, 'max_depth': 4, 'min_rows': 35}",0.02564102564102564,0.033482142857142856,0.2474489795918367,0.00390625,0.2687923988857775,0.5679142121891754,51.19319039583206,11.977878088752425
flags,H2O-GBM,6,"{'ntrees': 20, 'max_depth': 4, 'min_rows': 45}",0.05128205128205128,0.03125,0.2441964285714286,0.0078125,0.2388157383022132,0.550355940790256,26.571783177554607,9.664908863413027
flags,H2O-GBM,7,"{'ntrees': 10, 'max_depth': 7, 'min_rows': 15}",0.02564102564102564,0.0,0.2465773809523809,0.013888888888888888,0.3160497273154985,0.6196212000179063,26.421410836279392,7.880036599743061
flags,H2O-GBM,8,"{'ntrees': 10, 'max_depth': 5, 'min_rows': 35}",0.05263157894736842,0.029761904761904764,0.2733843537414966,0.02261904761904762,0.28051318155004795,0.5890190978950036,28.22020784672349,11.423825114769373
flags,H2O-GBM,9,"{'ntrees': 10, 'max_depth': 6, 'min_rows': 45}",0.02631578947368421,0.017857142857142856,0.2656462585034014,0.004608294930875576,0.2388525508341177,0.6318162083747528,31.160369904711843,7.417605258524418
annealing,H2O-GBM,0,"{'min_rows': 45, 'ntrees': 30, 'max_depth': 6}",0.0,0.0028985507246376808,0.3985507246376812,0.0,0.3033349382894378,0.492087271078153,0.975892105139792,3.1413316002322564
annealing,H2O-GBM,1,"{'min_rows': 35, 'ntrees': 20, 'max_depth': 4}",0.0,0.036231884057971016,0.3909420289855072,0.0,0.312990596963423,0.5118384279409501,0.52447325643152,5.508186099016004
annealing,H2O-GBM,2,"{'min_rows': 45, 'ntrees': 20, 'max_depth': 6}",0.0,0.0036231884057971015,0.2880434782608696,0.0,0.4883952896544529,0.5069336198926869,0.5147899258881807,5.673318697760505
annealing,H2O-GBM,3,"{'min_rows': 45, 'ntrees': 20, 'max_depth': 6}",0.0,0.007246376811594203,0.2475845410628019,0.0,0.5263347085680098,0.5045440311027536,0.7303226673975587,0.8539906702935696
annealing,H2O-GBM,4,"{'min_rows': 35, 'ntrees': 10, 'max_depth': 6}",0.0,0.028571428571428567,0.4003571428571429,0.0,0.3286350426846405,0.5330401722693633,0.9409206220880152,5.609808924297494
annealing,H2O-GBM,5,"{'min_rows': 45, 'ntrees': 40, 'max_depth': 5}",0.0,0.03739495798319328,0.3906512605042017,0.0,0.2996938456653198,0.4986712071413904,1.1880624359473586,5.850837772919072
annealing,H2O-GBM,6,"{'min_rows': 35, 'ntrees': 20, 'max_depth': 4}",0.011111111111111113,0.2315126050420168,0.3974789915966387,0.0022222222222222227,0.4407805585584656,0.4894328124225344,1.3917512549087403,5.506983140690459
annealing,H2O-GBM,7,"{'min_rows': 25, 'ntrees': 60, 'max_depth': 5}",0.011111111111111113,0.2058823529411765,0.3985294117647059,0.0022222222222222227,0.31626327632225715,0.492862646059484,1.2764072669669986,3.6002393294539714
annealing,H2O-GBM,8,"{'min_rows': 45, 'ntrees': 10, 'max_depth': 7}",0.0,0.028571428571428567,0.3538865546218488,0.0,0.3308481360023684,0.4994095322598332,0.3115308806300163,3.419266783454445
annealing,H2O-GBM,9,"{'min_rows': 45, 'ntrees': 10, 'max_depth': 4}",0.011235955056179777,0.2,0.3935294117647059,0.0022471910112359553,0.35635840671482866,0.5446611155562889,0.351537031121552,2.4423681387908003
oocytes_merluccius_states_2f,H2O-GBM,0,"{'min_rows': 35, 'ntrees': 60, 'max_depth': 6}",0.019417475728155338,0.06837606837606837,0.576923076923077,0.01567732115677321,0.2638315413834508,0.4768086253566503,1.0870253136381507,3.654830483267608
oocytes_merluccius_states_2f,H2O-GBM,1,"{'min_rows': 45, 'ntrees': 60, 'max_depth': 6}",0.06796116504854369,0.0944384254243409,0.6130371975442398,0.028112449799196783,0.3414211719987094,0.4777479173908521,0.36307043489068747,1.866263093300236
oocytes_merluccius_states_2f,H2O-GBM,2,"{'min_rows': 45, 'ntrees': 50, 'max_depth': 4}",0.029411764705882363,0.04,0.5966666666666667,0.013157894736842105,0.2789289986329461,0.4725030495534475,0.4816466681659222,1.5842071277838126
oocytes_merluccius_states_2f,H2O-GBM,3,"{'min_rows': 35, 'ntrees': 70, 'max_depth': 7}",0.029411764705882363,0.05274725274725275,0.5641025641025641,0.0136986301369863,0.2326086316217895,0.4625184810008871,0.6215034024789929,1.834067287763544
